nanotype;mean_total;mean_intravascular;mean_extravascular;mean_dorsal_aorta;mean_caudal_vein;vein_over_aorta;intra_over_extra
anionic;48,334;80,78471395;11,87113763;41,848;120,009;2,867735615;6,805136664
anionic;39,34;67,0739373;10,58013526;40,804;107,261;2,628688364;6,33961057
anionic;49,86;90,17792264;12,39171956;41,385;146,2;3,532680923;7,277272714
anionic;53,897;100,6937757;14,5245636;47,523;171,014;3,59855228;6,932654122
anionic;50,918;86,64263426;12,86048486;65,156;141,601;2,173261096;6,737120352
anionic;52,958;81,48141429;17,92232101;34,188;127,534;3,73037323;4,546365074
neutral;65,762;93,25205234;23,22931012;98,989;144,058;1,455293012;4,014413336
neutral;42,235;72,29191321;11,32454361;83,748;106,719;1,274287147;6,383649152
neutral;42,899;65,76215035;10,59311809;82,735;84,211;1,017840092;6,208006913
neutral;43,356;65,2872777;12,46387283;88,188;87,538;0,992629383;5,238121295
neutral;37,791;58,9402436;10,87806208;68,817;89,178;1,29587166;5,418266889
neutral;45,472;76,19288846;13,07858243;88,44;118,168;1,336137494;5,825775755
